产品,课程页面,锚文本,跳转链接
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/rab_holder.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_2_controlling_an_led_by_a_button.html,Buttons are a common component,https://www.sunfounder.com/products/button-module
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_6_buzzer.html,active buzzer,https://www.sunfounder.com/products/active-buzzer-module
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_6_buzzer.html,passive buzzer,https://www.sunfounder.com/products/passive-buzzer-module
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_8_4n35.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_9_ne555.html,Breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_9_ne555.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_10_slide_switch.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_10_slide_switch.html,Breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_11_how_to_drive_a_dc_motor.html,Breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_11_how_to_drive_a_dc_motor.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_12_rotary_encoder.html,rotary encoder,https://www.sunfounder.com/products/rotary-encoder-module
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_12_rotary_encoder.html,Breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_12_rotary_encoder.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_13_driving_leds_by_74hc595.html,Breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_13_driving_leds_by_74hc595.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_14_driving_7-segment_display_by_74hc595.html,Breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_14_driving_7-segment_display_by_74hc595.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_15_driving_dot-matrix_by_74hc595.html,LED dot matrix,https://www.sunfounder.com/products/rgb-matrix
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_15_driving_dot-matrix_by_74hc595.html,Breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_15_driving_dot-matrix_by_74hc595.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_16_lcd1602.html,LCD1602,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_16_lcd1602.html,Breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_16_lcd1602.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_17_adxl345.html,acceleration sensor ADXL345,https://www.sunfounder.com/products/digital-accelerometer
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_17_adxl345.html,Breadboard,https://www.sunfounder.com/products/sunfounder-breadboard-kit
,https://docs.sunfounder.com/projects/superkit-v3-pi/en/latest/Lesson_17_adxl345.html,T-Extension Board,https://www.sunfounder.com/products/t-shape-gpio-extension-board
Sensor Kit V2 for Arduino,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/get_started.html,Uno R3 Board,https://www.sunfounder.com/products/arduino-unor3-control-board
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/get_started.html,Mega 2560 Board,https://www.sunfounder.com/products/arduino-mega2560-board
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/get_started.html,Nano Board,https://www.sunfounder.com/products/arduino-nano-board
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_1.html,LCD1602 with an I2C bus,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_1.html,SunFounder Uno board,https://www.sunfounder.com/products/arduino-unor3-control-board
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_2.html,Hall sensor,https://www.sunfounder.com/products/analog-hall-sensor
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_2.html,SunFounder Uno board,https://www.sunfounder.com/products/arduino-unor3-control-board
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_3.html,switch Hall sensor,https://www.sunfounder.com/products/switch-hall-sensor
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_3.html,SunFounder Uno board,https://www.sunfounder.com/products/arduino-unor3-control-board
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_4.html,Analog Temperature Sensor module,https://www.sunfounder.com/products/analog-temperature-sensor-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_4.html,SunFounder Uno board,https://www.sunfounder.com/products/arduino-unor3-control-board
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_5.html,I2C LCD1602 module,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_6.html,7-color auto-flash LED module,https://www.sunfounder.com/products/7-color-led-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_8.html,RTC-DS1302 module,https://www.sunfounder.com/products/rtc-ds1302-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_8.html,I2C LCD1602 module,https://www.sunfounder.com/products/i2c-lcd1602-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_9.html,flame sensor module,https://www.sunfounder.com/products/flame-sensor-module?
